,index,StudioProjectName,StudioTestName,ParticipantName,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),RecordingTimestamp,StudioEventData,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),Unnamed: 14,participant_identifier
0,257,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4271,,528.0,388.0,700.0,394.0,225.06,216.11,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
1,258,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4287,,528.0,388.0,702.0,389.0,225.07,215.99,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
2,259,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4304,,528.0,388.0,698.0,387.0,225.09,216.04,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
3,260,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4321,,,,763.0,391.0,225.27,216.16,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
4,261,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4337,,581.0,393.0,752.0,390.0,225.36,216.08,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
5,262,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4354,,581.0,393.0,748.0,396.0,225.38,216.15,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
6,263,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4371,,581.0,393.0,749.0,394.0,225.45,216.12,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
7,264,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4387,,581.0,393.0,753.0,396.0,225.5,216.08,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
8,265,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4404,,581.0,393.0,747.0,388.0,225.55,216.22,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
9,266,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4421,,581.0,393.0,752.0,391.0,225.57,216.15,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
10,267,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4437,,581.0,393.0,754.0,390.0,225.6,216.11,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
11,268,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4454,,581.0,393.0,754.0,393.0,225.64,216.12,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
12,269,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4471,,581.0,393.0,756.0,392.0,225.64,216.03,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
13,270,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4487,,581.0,393.0,752.0,396.0,225.65,215.99,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
14,271,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4504,,581.0,393.0,754.0,398.0,225.64,215.98,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
15,272,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4521,,581.0,393.0,752.0,392.0,225.59,215.95,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
16,273,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4537,,581.0,393.0,753.0,394.0,225.56,215.95,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
17,274,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4554,,,,778.0,372.0,225.69,215.95,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
18,275,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4571,,,,811.0,298.0,225.94,216.19,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
19,276,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4587,,641.0,301.0,810.0,301.0,225.96,216.25,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
20,277,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4604,,641.0,301.0,807.0,312.0,225.92,216.26,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
21,278,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4621,,641.0,301.0,811.0,299.0,225.93,216.34,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
22,279,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4637,,641.0,301.0,810.0,301.0,225.97,216.27,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
23,280,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4654,,641.0,301.0,813.0,302.0,225.98,216.21,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
24,281,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4671,,641.0,301.0,812.0,297.0,225.97,216.17,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
25,282,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4687,,641.0,301.0,813.0,300.0,225.96,216.26,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
