         1423357 function calls (1413174 primitive calls) in 5.420 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.210    2.210    2.210    2.210 {built-in method exec_}
      144    0.711    0.005    0.843    0.006 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
      144    0.365    0.003    0.432    0.003 parsers.py:1853(__init__)
        1    0.267    0.267    0.267    0.267 {built-in method show}
        1    0.237    0.237    5.481    5.481 profiler.py:8(run)
6140/5104    0.120    0.000    0.128    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
302199/302055    0.099    0.000    0.163    0.000 {built-in method builtins.isinstance}
      435    0.093    0.000    0.149    0.000 managers.py:1923(_merge_blocks)
        3    0.085    0.028    0.085    0.028 {pandas._libs.ops.scalar_compare}
     1446    0.078    0.000    0.083    0.000 {pandas._libs.lib.infer_dtype}
        2    0.044    0.022    0.044    0.022 {method 'unique' of 'pandas._libs.hashtable.PyObjectHashTable' objects}
   135685    0.041    0.000    0.062    0.000 generic.py:30(_check)
   210231    0.038    0.000    0.038    0.000 {built-in method builtins.getattr}
     3069    0.032    0.000    0.032    0.000 {built-in method numpy.empty}
      727    0.031    0.000    0.031    0.000 {built-in method _codecs.utf_8_decode}
    28872    0.027    0.000    0.075    0.000 common.py:1470(is_extension_array_dtype)
    29016    0.025    0.000    0.038    0.000 base.py:411(find)
 1584/720    0.025    0.000    0.143    0.000 base.py:250(__new__)
    34184    0.024    0.000    0.114    0.000 base.py:254(is_dtype)
        1    0.022    0.022    2.350    2.350 model_data.py:49(update_df)
      747    0.019    0.000    0.023    0.000 generic.py:5467(__setattr__)
      432    0.018    0.000    0.035    0.000 managers.py:1860(_stack_arrays)
    23788    0.018    0.000    0.035    0.000 common.py:1610(_is_dtype_type)
      144    0.017    0.000    1.856    0.013 parsers.py:447(_read)
      578    0.016    0.000    0.016    0.000 {built-in method pandas._libs.missing.isnaobj}
      288    0.016    0.000    0.016    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
      432    0.016    0.000    0.016    0.000 {method 'copy' of 'numpy.ndarray' objects}
      145    0.016    0.000    2.026    0.014 model_data.py:58(<genexpr>)
     7388    0.015    0.000    0.035    0.000 _dtype.py:321(_name_get)
    98524    0.015    0.000    0.015    0.000 {built-in method builtins.issubclass}
    17148    0.014    0.000    0.075    0.000 common.py:537(is_categorical_dtype)
     2451    0.014    0.000    0.171    0.000 construction.py:423(sanitize_array)
      152    0.013    0.000    0.014    0.000 {built-in method io.open}
        1    0.013    0.013    0.208    0.208 concat.py:35(concatenate_block_managers)
     3179    0.013    0.000    0.093    0.000 blocks.py:2681(get_block_type)
      432    0.013    0.000    0.013    0.000 {pandas._libs.algos.take_2d_axis0_object_object}
10676/10526    0.013    0.000    0.013    0.000 {built-in method numpy.array}
    24484    0.012    0.000    0.012    0.000 {built-in method builtins.hasattr}
37004/30032    0.011    0.000    0.015    0.000 {built-in method builtins.len}
    10820    0.008    0.000    0.019    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        3    0.008    0.003    0.008    0.003 {method 'unique' of 'pandas._libs.hashtable.StringHashTable' objects}
     2307    0.008    0.000    0.023    0.000 cast.py:1257(maybe_castable)
      144    0.007    0.000    0.144    0.001 managers.py:1733(_form_blocks)
     6492    0.007    0.000    0.029    0.000 dtypes.py:1132(is_dtype)
     6624    0.007    0.000    0.020    0.000 common.py:703(is_integer_dtype)
       35    0.007    0.000    0.007    0.000 qobjectcreator.py:136(instantiate)
     8663    0.007    0.000    0.022    0.000 common.py:201(is_object_dtype)
     1889    0.007    0.000    0.007    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     6492    0.007    0.000    0.029    0.000 dtypes.py:923(is_dtype)
      288    0.007    0.000    0.013    0.000 {pandas._libs.lib.clean_index_list}
  440/296    0.006    0.000    0.151    0.001 series.py:238(__init__)
     1296    0.006    0.000    0.031    0.000 cast.py:1379(maybe_cast_to_datetime)
     4187    0.006    0.000    0.014    0.000 common.py:231(is_sparse)
      293    0.006    0.000    0.015    0.000 managers.py:232(_rebuild_blknos_and_blklocs)
      303    0.006    0.000    0.006    0.000 {method 'clear' of 'dict' objects}
     7500    0.005    0.000    0.036    0.000 common.py:499(is_interval_dtype)
     7500    0.005    0.000    0.036    0.000 common.py:463(is_period_dtype)
        3    0.005    0.002    0.005    0.002 indexers.py:225(maybe_convert_indices)
     3035    0.005    0.000    0.022    0.000 common.py:1341(is_bool_dtype)
     2451    0.005    0.000    0.065    0.000 construction.py:554(_try_cast)
     1465    0.005    0.000    0.020    0.000 blocks.py:127(__init__)
     7388    0.005    0.000    0.013    0.000 _dtype.py:307(_name_includes_bit_suffix)
        2    0.004    0.002    0.214    0.107 view_participant_selection.py:71(update_selection_checkboxes)
     1584    0.004    0.000    0.011    0.000 common.py:198(asarray_tuplesafe)
      729    0.004    0.000    0.085    0.000 algorithms.py:1661(take_nd)
    14569    0.004    0.000    0.006    0.000 common.py:187(<lambda>)
      144    0.004    0.000    0.163    0.001 construction.py:333(_homogenize)
     9219    0.004    0.000    0.006    0.000 common.py:195(<lambda>)
